hour,demand,temperature,day_of_week,is_weekend,hour_of_day,month,year,day,demand_lag_1,demand_lag_2,demand_lag_3,demand_lag_6,demand_lag_12,demand_lag_24,rolling_mean_6h,rolling_mean_24h
1948-01-25,49,8.0,6,1,0,1,1948,25,42.0,52.0,51.0,37.0,52.0,57.0,48.166666666666664,47.375
1948-01-26,51,7.0,0,0,0,1,1948,26,49.0,42.0,52.0,36.0,35.0,48.0,50.666666666666664,47.5
1948-01-27,51,11.0,1,0,0,1,1948,27,51.0,49.0,42.0,59.0,33.0,54.0,49.333333333333336,47.375
1948-01-28,60,12.0,2,0,0,1,1948,28,51.0,51.0,49.0,51.0,39.0,58.0,50.833333333333336,47.458333333333336
1948-01-29,46,6.0,3,0,0,1,1948,29,60.0,51.0,51.0,52.0,36.0,49.0,49.833333333333336,47.333333333333336
1948-01-30,51,8.0,4,0,0,1,1948,30,46.0,60.0,51.0,42.0,43.0,52.0,51.333333333333336,47.291666666666664
1948-01-31,38,1.0,5,1,0,1,1948,31,51.0,46.0,60.0,49.0,37.0,63.0,49.5,46.25
1948-02-01,55,4.0,6,1,0,2,1948,1,38.0,51.0,46.0,51.0,36.0,56.0,50.166666666666664,46.208333333333336
1948-02-02,49,6.0,0,0,0,2,1948,2,55.0,38.0,51.0,51.0,59.0,51.0,49.833333333333336,46.125
1948-02-03,39,3.0,1,0,0,2,1948,3,49.0,55.0,38.0,60.0,51.0,52.0,46.333333333333336,45.583333333333336
1948-02-04,50,4.0,2,0,0,2,1948,4,39.0,49.0,55.0,46.0,52.0,45.0,47.0,45.791666666666664
1948-02-05,37,2.0,3,0,0,2,1948,5,50.0,39.0,49.0,51.0,42.0,45.0,44.666666666666664,45.458333333333336
1948-02-06,50,6.0,4,0,0,2,1948,6,37.0,50.0,39.0,38.0,49.0,52.0,46.666666666666664,45.375
1948-02-07,39,6.0,5,1,0,2,1948,7,50.0,37.0,50.0,55.0,51.0,35.0,44.0,45.541666666666664
1948-02-08,42,6.0,6,1,0,2,1948,8,39.0,50.0,37.0,49.0,51.0,33.0,42.833333333333336,45.916666666666664
1948-02-09,50,6.0,0,0,0,2,1948,9,42.0,39.0,50.0,39.0,60.0,39.0,44.666666666666664,46.375
1948-02-10,48,3.0,1,0,0,2,1948,10,50.0,42.0,39.0,50.0,46.0,36.0,44.333333333333336,46.875
1948-02-11,51,7.0,2,0,0,2,1948,11,48.0,50.0,42.0,37.0,51.0,43.0,46.666666666666664,47.208333333333336
1948-02-12,48,6.0,3,0,0,2,1948,12,51.0,48.0,50.0,50.0,38.0,37.0,46.333333333333336,47.666666666666664
1948-02-13,50,8.0,4,0,0,2,1948,13,48.0,51.0,48.0,39.0,55.0,36.0,48.166666666666664,48.25
1948-02-14,43,7.0,5,1,0,2,1948,14,50.0,48.0,51.0,42.0,49.0,59.0,48.333333333333336,47.583333333333336
1948-02-15,45,6.0,6,1,0,2,1948,15,43.0,50.0,48.0,50.0,39.0,51.0,47.5,47.333333333333336
1948-02-16,54,11.0,0,0,0,2,1948,16,45.0,43.0,50.0,48.0,50.0,52.0,48.5,47.416666666666664
1948-02-17,65,13.0,1,0,0,2,1948,17,54.0,45.0,43.0,51.0,37.0,42.0,50.833333333333336,48.375
1948-02-18,54,8.0,2,0,0,2,1948,18,65.0,54.0,45.0,48.0,50.0,49.0,51.833333333333336,48.583333333333336
1948-02-19,40,6.0,3,0,0,2,1948,19,54.0,65.0,54.0,50.0,39.0,51.0,50.166666666666664,48.125
1948-02-20,52,7.0,4,0,0,2,1948,20,40.0,54.0,65.0,43.0,42.0,51.0,51.666666666666664,48.166666666666664
1948-02-21,52,9.0,5,1,0,2,1948,21,52.0,40.0,54.0,45.0,50.0,60.0,52.833333333333336,47.833333333333336
1948-02-22,49,8.0,6,1,0,2,1948,22,52.0,52.0,40.0,54.0,48.0,46.0,52.0,47.958333333333336
1948-02-23,55,8.0,0,0,0,2,1948,23,49.0,52.0,52.0,65.0,51.0,51.0,50.333333333333336,48.125
1948-02-24,56,7.0,1,0,0,2,1948,24,55.0,49.0,52.0,54.0,48.0,38.0,50.666666666666664,48.875
1948-02-25,57,8.0,2,0,0,2,1948,25,56.0,55.0,49.0,40.0,50.0,55.0,53.5,48.958333333333336
1948-02-26,49,9.0,3,0,0,2,1948,26,57.0,56.0,55.0,52.0,43.0,49.0,53.0,48.958333333333336
1948-02-27,50,8.0,4,0,0,2,1948,27,49.0,57.0,56.0,52.0,45.0,39.0,52.666666666666664,49.416666666666664
1948-02-28,55,9.0,5,1,0,2,1948,28,50.0,49.0,57.0,49.0,54.0,50.0,53.666666666666664,49.625
1948-02-29,55,7.0,6,1,0,2,1948,29,55.0,50.0,49.0,55.0,65.0,37.0,53.666666666666664,50.375
1948-03-01,48,7.0,0,0,0,3,1948,1,55.0,55.0,50.0,56.0,54.0,50.0,52.333333333333336,50.291666666666664
1948-03-02,53,9.0,1,0,0,3,1948,2,48.0,55.0,55.0,57.0,40.0,39.0,51.666666666666664,50.875
1948-03-03,51,11.0,2,0,0,3,1948,3,53.0,48.0,55.0,49.0,52.0,42.0,52.0,51.25
1948-03-04,55,14.0,3,0,0,3,1948,4,51.0,53.0,48.0,50.0,52.0,50.0,52.833333333333336,51.458333333333336
1948-03-05,56,8.0,4,0,0,3,1948,5,55.0,51.0,53.0,55.0,49.0,48.0,53.0,51.791666666666664
1948-03-06,59,8.0,5,1,0,3,1948,6,56.0,55.0,51.0,55.0,55.0,51.0,53.666666666666664,52.125
1948-03-07,49,6.0,6,1,0,3,1948,7,59.0,56.0,55.0,48.0,56.0,48.0,53.833333333333336,52.166666666666664
1948-03-08,54,6.0,0,0,0,3,1948,8,49.0,59.0,56.0,53.0,57.0,50.0,54.0,52.333333333333336
1948-03-09,54,8.0,1,0,0,3,1948,9,54.0,49.0,59.0,51.0,49.0,43.0,54.5,52.791666666666664
1948-03-10,52,10.0,2,0,0,3,1948,10,54.0,54.0,49.0,55.0,50.0,45.0,54.0,53.083333333333336
1948-03-11,57,10.0,3,0,0,3,1948,11,52.0,54.0,54.0,56.0,55.0,54.0,54.166666666666664,53.208333333333336
1948-03-12,69,14.0,4,0,0,3,1948,12,57.0,52.0,54.0,59.0,55.0,65.0,55.833333333333336,53.375
1948-03-13,55,10.0,5,1,0,3,1948,13,69.0,57.0,52.0,49.0,48.0,54.0,56.833333333333336,53.416666666666664
1948-03-14,64,11.0,6,1,0,3,1948,14,55.0,69.0,57.0,54.0,53.0,40.0,58.5,54.416666666666664
1948-03-15,43,11.0,0,0,0,3,1948,15,64.0,55.0,69.0,54.0,51.0,52.0,56.666666666666664,54.041666666666664
1948-03-16,59,10.0,1,0,0,3,1948,16,43.0,64.0,55.0,52.0,55.0,52.0,57.833333333333336,54.333333333333336
1948-03-17,55,10.0,2,0,0,3,1948,17,59.0,43.0,64.0,57.0,56.0,49.0,57.5,54.583333333333336
1948-03-18,51,8.0,3,0,0,3,1948,18,55.0,59.0,43.0,69.0,59.0,55.0,54.5,54.416666666666664
1948-03-19,51,7.0,4,0,0,3,1948,19,51.0,55.0,59.0,55.0,49.0,56.0,53.833333333333336,54.208333333333336
1948-03-20,41,7.0,5,1,0,3,1948,20,51.0,51.0,55.0,64.0,54.0,57.0,50.0,53.541666666666664
1948-03-21,51,8.0,6,1,0,3,1948,21,41.0,51.0,51.0,43.0,54.0,49.0,51.333333333333336,53.625
1948-03-22,51,6.0,0,0,0,3,1948,22,51.0,41.0,51.0,59.0,52.0,50.0,50.0,53.666666666666664
1948-03-23,65,12.0,1,0,0,3,1948,23,51.0,51.0,41.0,55.0,57.0,55.0,51.666666666666664,54.083333333333336
1948-03-24,55,12.0,2,0,0,3,1948,24,65.0,51.0,51.0,51.0,69.0,55.0,52.333333333333336,54.083333333333336
1948-03-25,51,10.0,3,0,0,3,1948,25,55.0,65.0,51.0,51.0,55.0,48.0,52.333333333333336,54.208333333333336
1948-03-26,57,13.0,4,0,0,3,1948,26,51.0,55.0,65.0,41.0,64.0,53.0,55.0,54.375
1948-03-27,73,19.0,5,1,0,3,1948,27,57.0,51.0,55.0,51.0,43.0,51.0,58.666666666666664,55.291666666666664
1948-03-28,69,18.0,6,1,0,3,1948,28,73.0,57.0,51.0,51.0,59.0,55.0,61.666666666666664,55.875
1948-03-29,51,9.0,0,0,0,3,1948,29,69.0,73.0,57.0,65.0,55.0,56.0,59.333333333333336,55.666666666666664
